signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held,t_entry,t_exit,src_card
265,2102,2158,long,1493.8,1525.336347472,win,312.0634747199999,153.23783999999995,7,1304899200000000000,1305100800000000000,XAUUSD_H8
274,2174,2206,short,1500.05,1515.945548,loss,-162.25547999999964,158.95548,4,1305158400000000000,1305273600000000000,XAUUSD_H8
295,2340,2459,long,1510.2,1535.9,win,253.70000000000044,166.18044000000003,15,1306108800000000000,1306713600000000000,XAUUSD_H8
339,2686,2805,short,1529.05,1539.2,loss,-104.8000000000009,159.46428000000003,15,1307721600000000000,1308326400000000000,XAUUSD_H8
366,2900,2939,short,1524.85,1497.4301052879998,win,270.89894712000086,133.23564000000002,5,1308844800000000000,1309161600000000000,XAUUSD_H8
384,3043,3050,short,1483.4,1495.8497,loss,-127.79699999999893,124.49699999999994,1,1309536000000000000,1310630400000000000,XAUUSD_H8
396,3136,3160,short,1588.95,1602.36642,loss,-137.46420000000018,134.16419999999997,3,1311120000000000000,1311206400000000000,XAUUSD_H8
404,3200,3311,long,1602.4,1630.8028696000001,win,280.7286960000003,138.01199999999997,14,1311350400000000000,1311926400000000000,XAUUSD_H8
419,3319,3326,long,1628.55,1614.146508,loss,-147.33491999999916,144.03491999999986,1,1311955200000000000,1312156800000000000,XAUUSD_H8
425,3366,3382,long,1636.1,1666.1455240399998,win,297.1552403999992,145.99379999999994,2,1312300800000000000,1312358400000000000,XAUUSD_H8
431,3414,3414,long,1681.0,1665.792604,loss,-155.37396000000018,152.07395999999994,0,1312473600000000000,1312473600000000000,XAUUSD_H8
433,3430,3445,long,1662.2,1694.60806688,win,320.7806687999998,157.4736,2,1312531200000000000,1312761600000000000,XAUUSD_H8
438,3469,3469,long,1715.55,1750.683171696,win,348.0317169600009,170.71512,0,1312848000000000000,1312848000000000000,XAUUSD_H8
443,3509,3517,long,1771.45,1811.204855224,win,394.2485522400004,193.17228000000003,1,1312992000000000000,1313020800000000000,XAUUSD_H8
446,3533,3596,short,1760.05,1780.4414319999998,loss,-207.21431999999896,203.91432,8,1313078400000000000,1313481600000000000,XAUUSD_H8
461,3652,3668,long,1816.8,1862.675215512,win,455.45215512000067,222.9116400000001,2,1313683200000000000,1313740800000000000,XAUUSD_H8
464,3676,3707,long,1853.15,1900.2149947040002,win,467.34994704000127,228.69288000000012,4,1313769600000000000,1314057600000000000,XAUUSD_H8
470,3723,3723,short,1875.65,1826.05623368,win,492.63766319999985,240.98040000000015,0,1314115200000000000,1314115200000000000,XAUUSD_H8
473,3747,3747,short,1806.85,1754.466993352,win,520.53006648,254.53356000000014,0,1314201600000000000,1314201600000000000,XAUUSD_H8
480,3802,3802,long,1836.35,1807.5449239999998,loss,-291.350760000001,288.05076000000014,0,1314576000000000000,1314576000000000000,XAUUSD_H8
